arch, instr, time(ms)
arm32, BPF_JMP BPF_CALL, 7090
arm32, BPF_JMP BPF_EXIT, 2979
arm32, BPF_ALU BPF_END BPF_FROM_BE, 9029
arm32, BPF_ALU BPF_END BPF_FROM_LE, 6358
arm32, BPF_ALU BPF_MOV BPF_K, 14739
arm32, BPF_ALU BPF_ADD BPF_K, 13048
arm32, BPF_ALU BPF_SUB BPF_K, 22270
arm32, BPF_ALU BPF_AND BPF_K, 9634
arm32, BPF_ALU BPF_OR BPF_K, 10604
arm32, BPF_ALU BPF_XOR BPF_K, 10677
arm32, BPF_ALU BPF_MUL BPF_K, 10263
arm32, BPF_ALU BPF_DIV BPF_K, 6100
arm32, BPF_ALU BPF_MOD BPF_K, 11632
arm32, BPF_ALU BPF_LSH BPF_K, 6237
arm32, BPF_ALU BPF_RSH BPF_K, 5952
arm32, BPF_ALU BPF_ARSH BPF_K, 7360
arm32, BPF_LD BPF_IMM BPF_DW, 15279
arm32, BPF_ALU BPF_MOV BPF_X, 7289
arm32, BPF_ALU BPF_ADD BPF_X, 18841
arm32, BPF_ALU BPF_SUB BPF_X, 24356
arm32, BPF_ALU BPF_AND BPF_X, 12048
arm32, BPF_ALU BPF_OR BPF_X, 12350
arm32, BPF_ALU BPF_XOR BPF_X, 15147
arm32, BPF_ALU BPF_MUL BPF_X, 8665
arm32, BPF_ALU BPF_DIV BPF_X, 7494
arm32, BPF_ALU BPF_MOD BPF_X, 12702
arm32, BPF_ALU BPF_LSH BPF_X, 11795
arm32, BPF_ALU BPF_RSH BPF_X, 14235
arm32, BPF_ALU BPF_ARSH BPF_X, 16149
arm32, BPF_ALU BPF_NEG, 4273
arm32, BPF_ALU64 BPF_MOV BPF_K, 9337
arm32, BPF_ALU64 BPF_ADD BPF_K, 20476
arm32, BPF_ALU64 BPF_SUB BPF_K, 26314
arm32, BPF_ALU64 BPF_AND BPF_K, 10595
arm32, BPF_ALU64 BPF_OR BPF_K, 8686
arm32, BPF_ALU64 BPF_XOR BPF_K, 12220
arm32, BPF_ALU64 BPF_MUL BPF_K, 93316
arm32, BPF_ALU64 BPF_LSH BPF_K, 17004
arm32, BPF_ALU64 BPF_RSH BPF_K, 14482
arm32, BPF_ALU64 BPF_ARSH BPF_K, 22317
arm32, BPF_JMP32 BPF_JEQ BPF_X, 15792
arm32, BPF_JMP32 BPF_JGT BPF_X, 24877
arm32, BPF_JMP32 BPF_JLT BPF_X, 20935
arm32, BPF_JMP32 BPF_JGE BPF_X, 19645
arm32, BPF_JMP32 BPF_JLE BPF_X, 21804
arm32, BPF_JMP32 BPF_JNE BPF_X, 15649
arm32, BPF_JMP32 BPF_JSGT BPF_X, 25503
arm32, BPF_JMP32 BPF_JSLT BPF_X, 21396
arm32, BPF_JMP32 BPF_JSGE BPF_X, 23734
arm32, BPF_JMP32 BPF_JSLE BPF_X, 18806
arm32, BPF_JMP32 BPF_JSET BPF_X, 16792
arm32, BPF_ST BPF_MEM BPF_B, 11909
arm32, BPF_ST BPF_MEM BPF_H, 12163
arm32, BPF_ST BPF_MEM BPF_W, 13180
arm32, BPF_ST BPF_MEM BPF_DW, 54854
arm32, BPF_STX BPF_MEM BPF_B, 12501
arm32, BPF_STX BPF_MEM BPF_H, 11994
arm32, BPF_STX BPF_MEM BPF_W, 9664
arm32, BPF_STX BPF_MEM BPF_DW, 35126
arm32, BPF_LDX BPF_MEM BPF_B, 39808
arm32, BPF_LDX BPF_MEM BPF_H, 36575
arm32, BPF_LDX BPF_MEM BPF_W, 39781
arm32, BPF_LDX BPF_MEM BPF_DW, 40438
arm32, BPF_JMP BPF_JEQ BPF_X, 30506
arm32, BPF_JMP BPF_JGT BPF_X, 36191
arm32, BPF_JMP BPF_JLT BPF_X, 28970
arm32, BPF_JMP BPF_JGE BPF_X, 34324
arm32, BPF_JMP BPF_JLE BPF_X, 33781
arm32, BPF_JMP BPF_JNE BPF_X, 23679
arm32, BPF_JMP BPF_JSGT BPF_X, 33950
arm32, BPF_JMP BPF_JSLT BPF_X, 24891
arm32, BPF_JMP BPF_JSGE BPF_X, 28132
arm32, BPF_JMP BPF_JSLE BPF_X, 24496
arm32, BPF_JMP BPF_JSET BPF_X, 17215
arm32, BPF_ALU64 BPF_MOV BPF_X, 16151
arm32, BPF_ALU64 BPF_ADD BPF_X, 55720
arm32, BPF_ALU64 BPF_SUB BPF_X, 93496
arm32, BPF_ALU64 BPF_AND BPF_X, 20769
arm32, BPF_ALU64 BPF_OR BPF_X, 20973
arm32, BPF_ALU64 BPF_XOR BPF_X, 25258
arm32, BPF_ALU64 BPF_MUL BPF_X, 74826
arm32, BPF_ALU64 BPF_LSH BPF_X, 18766
arm32, BPF_ALU64 BPF_RSH BPF_X, 11911
arm32, BPF_ALU64 BPF_ARSH BPF_X, 22209
arm32, BPF_ALU64 BPF_NEG, 2989
arm32, BPF_JMP32 BPF_JEQ BPF_K, 31322
arm32, BPF_JMP32 BPF_JGT BPF_K, 40710
arm32, BPF_JMP32 BPF_JLT BPF_K, 18687
arm32, BPF_JMP32 BPF_JGE BPF_K, 63403
arm32, BPF_JMP32 BPF_JLE BPF_K, 68181
arm32, BPF_JMP32 BPF_JNE BPF_K, 29300
arm32, BPF_JMP32 BPF_JSGT BPF_K, 26947
